,County/Parish,"Notice
Date","Received
Date","Effective 
Date",Company,"Layoff/
Closure","No. Of
Employees",Address
0,Alameda County,2022-06-15 00:00:00,2022-07-08 00:00:00,2022-12-02 00:00:00,Amgen,Closure Permanent,2,7999 Gateway Blvd #320  Newark CA 94560
1,Los Angeles County,2022-06-24 00:00:00,2022-07-08 00:00:00,2022-08-21 00:00:00,"Assembled Financial Technology, LLC",Closure Permanent,13,"9000 Sunset Boulevard, Suite 1010  West Hollywood CA 90069"
2,San Diego County,2022-06-23 00:00:00,2022-07-08 00:00:00,2022-08-23 00:00:00,Cue Health Inc.,Layoff Permanent,9,6225 Nancy Ridge Dr.  San Diego CA 92121
3,San Diego County,2022-06-23 00:00:00,2022-07-08 00:00:00,2022-08-23 00:00:00,Cue Health Inc.,Layoff Permanent,123,"2620 Commerce Way, Suite A/B  Vista CA 92081"
4,San Diego County,2022-06-23 00:00:00,2022-07-08 00:00:00,2022-08-23 00:00:00,Cue Health,Layoff Permanent,37,9877 Waples St.  San Diego CA 92121
5,Los Angeles County,2022-06-15 00:00:00,2022-07-11 00:00:00,2022-08-11 00:00:00,PAE Shared Services LLC dba Amentum,Layoff Permanent,37,San Clemente Island  Los Angeles CA 90731
6,Los Angeles County,2022-06-27 00:00:00,2022-07-11 00:00:00,2022-08-26 00:00:00,"DailyLook, Inc.",Layoff Permanent,80,"2445 E. 12th Street, Unit B  Los Angeles CA 90021"
7,San Mateo County,2022-06-29 00:00:00,2022-07-11 00:00:00,2022-08-27 00:00:00,"Tesla, Inc.",Closure Permanent,229,3055 Clearview Way  San Mateo CA 94402
8,San Mateo County,2022-07-01 00:00:00,2022-07-11 00:00:00,2022-07-24 00:00:00,"ABM Industry Groups, LLC dba Meta",Layoff Permanent,368,1 Hacker Way  Menlo Park CA 94025
9,Santa Clara County,2022-06-27 00:00:00,2022-07-11 00:00:00,2022-08-26 00:00:00,AppLovin Corporation,Layoff Permanent,62,1100 Page Mill Road  Palo Alto CA 94304
10,San Diego County,2022-06-15 00:00:00,2022-07-11 00:00:00,2022-08-11 00:00:00,PAE Shared Services LLC dba Amentum,Layoff Permanent,25,Naval Base Point Loma 4045 Hancock St  San Diego CA 92110
11,San Diego County,2022-06-15 00:00:00,2022-07-11 00:00:00,2022-08-11 00:00:00,PAE Shared Services LLC dba Amentum,Layoff Permanent,68,NAS North Island  San Diego CA 92135
12,San Diego County,2022-06-29 00:00:00,2022-07-11 00:00:00,2022-08-28 00:00:00,"Heron Therapeutics, Inc.",Layoff Permanent,77,"4242 Campus Point Court, Suite 200  San Diego CA 92121"
13,Alameda County,2022-06-27 00:00:00,2022-07-12 00:00:00,2022-08-27 00:00:00,"Tesla, Inc.",Layoff Permanent,20,901 Page Avenue  Fremont CA 94538
14,Alameda County,2022-06-27 00:00:00,2022-07-12 00:00:00,2022-08-27 00:00:00,"Tesla, Inc.",Layoff Permanent,5,47700 Kato Road  Fremont CA 94538
15,Alameda County,2022-06-27 00:00:00,2022-07-12 00:00:00,2022-08-27 00:00:00,"Tesla, Inc.",Layoff Permanent,2,47400 Kato Road  Fremotn CA 94538
16,Alameda County,2022-06-27 00:00:00,2022-07-12 00:00:00,2022-08-27 00:00:00,"Tesla, Inc.",Layoff Permanent,1,45201 Fremont Blvd.  Fremont CA 94538
17,Alameda County,2022-06-27 00:00:00,2022-07-12 00:00:00,2022-08-27 00:00:00,"Tesla, Inc.",Layoff Permanent,41,45500 Fremont Blvd.  Fremont CA 94538
18,Kern County,2022-07-01 00:00:00,2022-07-12 00:00:00,2022-08-31 00:00:00,"JSL Transport, LLC",Closure Permanent,4,3000 Sillect Avenue  Bakersfield CA 93308
19,Los Angeles County,2022-06-20 00:00:00,2022-07-12 00:00:00,2022-12-31 00:00:00,"R.A. Phillips Industries, Inc.",Layoff Permanent,211,12070 Burke St  Santa Fe Springs CA 90670
20,Los Angeles County,2022-07-01 00:00:00,2022-07-12 00:00:00,2022-08-31 00:00:00,"JSL Transport, LLC",Closure Permanent,10,10371 Culver Blvd.  Culver City CA 90232
21,Los Angeles County,2022-07-01 00:00:00,2022-07-12 00:00:00,2022-08-31 00:00:00,"JSL Transport, LLC",Closure Permanent,1,430 S. Cataract Avenue  San Dimas CA 91773
22,San Mateo County,2022-06-30 00:00:00,2022-07-12 00:00:00,2022-08-29 00:00:00,PACT Pharma,Layoff Permanent,94,2 Corporate Dr.  South San Francisco CA 94080
23,Orange County,2022-07-01 00:00:00,2022-07-12 00:00:00,2022-08-31 00:00:00,"JSL Transport, LLC",Closure Permanent,9,7231 Garden Grove Blvd. Suite K  Garden Grove CA 92841
24,Orange County,2022-07-01 00:00:00,2022-07-12 00:00:00,2022-08-31 00:00:00,"JSL Transport, LLC",Closure Permanent,6,2700 Medical Center Road  Mission Viejo CA 92691
25,Sacramento County,2022-07-01 00:00:00,2022-07-12 00:00:00,2022-08-31 00:00:00,"JSL Transport, LLC",Closure Permanent,18,2315 Stockton Blvd.  Sacramento CA 95817
26,Los Angeles County,2022-07-01 00:00:00,2022-07-13 00:00:00,2022-08-31 00:00:00,"JSL Transport, LLC",Closure Permanent,76,14250 Arminta Street  Panorama City CA 91402
27,Los Angeles County,2022-07-01 00:00:00,2022-07-13 00:00:00,2022-08-31 00:00:00,"JSL Transport, LLC",Closure Permanent,1,7300 Medical Center Drive  West Hills CA 91307
28,Stanislaus County,2022-07-01 00:00:00,2022-07-13 00:00:00,2022-08-31 00:00:00,"JSL Transport, LLC",Closure Permanent,27,4301 N. Star Way  Modesto CA 95356
29,Los Angeles County,2022-07-01 00:00:00,2022-07-13 00:00:00,2022-08-31 00:00:00,"JSL Transport, LLC",Closure Permanent,2,"621 Ruberta, Unit 2  Glendale CA 91201"
30,Los Angeles County,2022-07-05 00:00:00,2022-07-14 00:00:00,2022-08-15 00:00:00,First Student,Layoff Permanent,54,1600 Lincoln Ave.  Pasadena CA 91103
31,Los Angeles County,2022-07-01 00:00:00,2022-07-14 00:00:00,2022-08-26 00:00:00,First Student,Layoff Permanent,105,5950 S. St. Andrews Pl.  Los Angeles CA 90047
32,Los Angeles County,2022-07-01 00:00:00,2022-07-14 00:00:00,2022-08-26 00:00:00,First Student,Layoff Permanent,71,11233 San Fernando Road  San Fernando CA 91340
33,Santa Clara County,2022-07-06 00:00:00,2022-07-14 00:00:00,2022-09-05 00:00:00,Maxar Space LLC,Layoff Permanent,125,3825 Fabian Way  Palo Alto CA 94303
34,Riverside County,2022-07-11 00:00:00,2022-07-14 00:00:00,2022-09-09 00:00:00,Scotts Temecula Operations LLC,Layoff Permanent,55,42375 Remington Avenue  Temecula CA 92590
35,Los Angeles County,2022-07-01 00:00:00,2022-07-14 00:00:00,2022-08-26 00:00:00,First Student,Layoff Permanent,176,14800 South Avalon Blvd.  Gardena CA 90248
36,Orange County,2022-07-07 00:00:00,2022-07-15 00:00:00,2022-09-05 00:00:00,Texana Bank,Layoff Permanent,58,"38 Technology Drive, Suite 100  Irvine CA 92618"
37,Sacramento County,2022-07-07 00:00:00,2022-07-15 00:00:00,2022-09-06 00:00:00,"Voxpro Group, LLC",Layoff Permanent,180,255 Parkshore Drive  Folsom CA 95630
38,Alameda County,2022-07-07 00:00:00,2022-07-18 00:00:00,2022-09-09 00:00:00,"Anheuser-Busch, LLC",Closure Permanent,142,8380 Pardee Drive  Oakland CA 94621
39,San Bernardino County,2022-07-11 00:00:00,2022-07-18 00:00:00,2022-08-31 00:00:00,Performance Team,Closure Permanent,153,14613 Bar Harbor Road  Fontana CA 92336
40,Alameda County,2022-07-12 00:00:00,2022-07-19 00:00:00,2022-09-16 00:00:00,"ADP, Inc.",Layoff Permanent,12,4125 Hopyard Road  Pleasanton CA 94588
41,San Mateo County,2022-07-07 00:00:00,2022-07-19 00:00:00,2022-07-07 00:00:00,"Adverum Biotechnologies, Inc.",Layoff Permanent,27,900 Saginaw Drive  Redwood City CA 94063
42,San Mateo County,2022-07-07 00:00:00,2022-07-19 00:00:00,2022-07-07 00:00:00,"Adverum Biotechnologies, Inc.",Layoff Permanent,51,100 Cardinal Way  Redwood City CA 94063
43,San Diego County,2022-07-13 00:00:00,2022-07-19 00:00:00,2022-09-02 00:00:00,Life Cycle Engineering,Layoff Permanent,69,2535 Camino Del Rio South Suite 250  San Diego CA 92108
44,Los Angeles County,2022-07-12 00:00:00,2022-07-20 00:00:00,2022-09-10 00:00:00,"Freshly, Inc.",Closure Permanent,104,4000 Noakes Street  Los Angeles CA 90023
45,San Diego County,2022-05-11 00:00:00,2022-07-20 00:00:00,2022-07-11 00:00:00,The Permanente Federation dba Permanente Advantage LLC,Layoff Permanent,19,5855 Copley Drive Suite 250  San Diego CA 92111
46,Santa Barbara County,2022-06-01 00:00:00,2022-07-20 00:00:00,2022-06-01 00:00:00,B&H Flowers,Closure Permanent,80,3615 Foothill Rd.  Carpinteria CA 93013
47,Solano County,2022-07-11 00:00:00,2022-07-21 00:00:00,2022-08-22 00:00:00,North Bay Health,Layoff Permanent,99,1000 Nut Tree Road  Vacaville CA 95687
48,Solano County,2022-07-11 00:00:00,2022-07-21 00:00:00,2022-08-22 00:00:00,North Bay Health,Layoff Permanent,60,1200 B Gale Wilson Blvd.  Fairfield CA 94533
49,Solano County,2022-07-11 00:00:00,2022-07-21 00:00:00,2022-08-22 00:00:00,North Bay Health,Layoff Permanent,4,2458 Hilborn Rd.  Fairfield CA 94534
50,Solano County,2022-07-11 00:00:00,2022-07-21 00:00:00,2022-08-22 00:00:00,North Bay Health,Layoff Permanent,26,4500 Business Center Dr.  Fairfield CA 94534
51,Ventura County,2022-05-19 00:00:00,2022-07-21 00:00:00,2022-07-18 00:00:00,Pennymac,Layoff Permanent,30,112 Lakeview Canyon Road  Thousand Oaks CA 91362
52,Ventura County,2022-05-19 00:00:00,2022-07-21 00:00:00,2022-07-18 00:00:00,Pennymac,Layoff Permanent,2,3043 Townsgate Road  Thousand Oaks CA 91361
53,San Mateo County,2022-07-13 00:00:00,2022-07-22 00:00:00,2022-07-13 00:00:00,CytomX Therapeutics Inc.,Layoff Not known at this time,66,151 Oyster Point Blvd. #400  South San Francisco CA 94080
54,Orange County,2022-07-20 00:00:00,2022-07-22 00:00:00,2022-10-03 00:00:00,Data Aire Inc.,Closure Permanent,85,230 W. Blueridge Avenue  Orange CA 92865
55,San Diego County,2022-07-14 00:00:00,2022-07-22 00:00:00,2022-09-12 00:00:00,Urbn Leaf dba Uprooted Inc.,Layoff Permanent,58,658 East San Ysidro Blvd.  San Ysidro CA 92173
56,San Francisco County,2022-07-13 00:00:00,2022-07-22 00:00:00,2022-09-12 00:00:00,"Tonal Systems, Inc.",Layoff Permanent,80,617 Bryant Street  San Francisco CA 94107
57,San Joaquin County,2022-07-20 00:00:00,2022-07-22 00:00:00,2022-10-01 00:00:00,Restoration Hardware Inc.,Layoff Permanent,55,2900 N. MacArthur Drive  Tracy CA 95376
58,Santa Clara County,2022-07-14 00:00:00,2022-07-22 00:00:00,2022-09-14 00:00:00,OnePointOne Inc.,Closure Permanent,14,1185 Campbell Avenue  San Jose CA 95126
59,Los Angeles County,2022-07-15 00:00:00,2022-07-22 00:00:00,2022-09-15 00:00:00,Gardena Honda,Closure Permanent,90,15515 South Western Avenue  Gardena CA 90249
60,Santa Clara County,2022-07-19 00:00:00,2022-07-25 00:00:00,2022-09-16 00:00:00,"Amy&rsquo;s Kitchen, Inc.",Closure Permanent,331,1885 Las Plumas Avenue  San Jose CA 95133
61,Placer County,2022-07-22 00:00:00,2022-07-26 00:00:00,2022-07-19 00:00:00,Adventist Health,Layoff Permanent,52,1 Adventist Health Way  Roseville CA 95661
62,Orange County,2022-07-25 00:00:00,2022-07-26 00:00:00,2022-09-23 00:00:00,Schneider Electric,Layoff Permanent,9,1660 Scenic Avenue  Costa Mesa CA 92626
63,San Bernardino County,2022-07-21 00:00:00,2022-07-26 00:00:00,2022-09-30 00:00:00,"Rise Baking Company dba Brill, Inc.",Layoff Permanent,78,2111 W. Valley Blvd.  Colton CA 92324
64,Orange County,2022-07-18 00:00:00,2022-07-27 00:00:00,2022-09-18 00:00:00,Invitae Corporation,Layoff Permanent,48,5 Technology Drive  Irvine CA 92618
65,San Francisco County,2022-07-18 00:00:00,2022-07-27 00:00:00,2022-09-16 00:00:00,"Imperfect Foods, Inc.",Layoff Permanent,50,1616 Donner Ave  San Francisco CA 94124
66,San Francisco County,2022-07-18 00:00:00,2022-07-27 00:00:00,2022-09-18 00:00:00,Invitae Corporation,Layoff Permanent,736,1400 16th Street  San Francisco CA 94103
67,Alameda County,2022-07-26 00:00:00,2022-07-28 00:00:00,2022-09-26 00:00:00,Zymergen Inc.,Layoff Permanent,74,"5980 Horton Street, Suite 105  Emeryville CA 94608"
68,San Mateo County,2022-07-20 00:00:00,2022-07-28 00:00:00,2022-09-18 00:00:00,"RingCentral, Inc.",Layoff Permanent,25,20 Davis Drive  Belmont CA 94002
69,San Mateo County,2022-07-20 00:00:00,2022-07-28 00:00:00,2022-09-25 00:00:00,"RingCentral, Inc.",Layoff Permanent,25,20 Davis Drive  Belmont CA 94002
70,Santa Clara County,2022-07-28 00:00:00,2022-07-28 00:00:00,2022-10-31 00:00:00,Owens Corning,Closure Permanent,225,960 Central Expy  Santa Clara CA 95050
71,Riverside County,2022-07-27 00:00:00,2022-07-28 00:00:00,2022-10-03 00:00:00,Inland SoCal United Way,Layoff Permanent,136,1835 Chicago Avenue B  Riverside CA 92507
72,San Francisco County,2022-08-01 00:00:00,2022-08-01 00:00:00,2022-09-30 00:00:00,Bayview Hunters Point,Closure Permanent,82,1625 Carroll Ave San Francisco  San Francisco CA 94124
73,Solano County,2022-08-01 00:00:00,2022-08-01 00:00:00,2022-10-07 00:00:00,Alza Corporation,Layoff Permanent,28,700 Eubanks Drive  Vacaville CA 95688
74,San Mateo County,2022-08-01 00:00:00,2022-08-03 00:00:00,2022-08-01 00:00:00,Talis Biomedical Corporation,Layoff Permanent,57,3400 Bridge Parkway  Redwood City CA 94065
75,Los Angeles County,2022-07-25 00:00:00,2022-08-05 00:00:00,2022-09-30 00:00:00,"Brinker International Payroll Company, L.P.",Closure Permanent,133,189 The Grove Dr.  Los Angeles CA 90036
76,San Mateo County,2022-08-02 00:00:00,2022-08-05 00:00:00,2022-10-01 00:00:00,"Robinhood Markets, Inc.",Layoff Permanent,146,85 Willow Road  Menlo Park CA 94025
77,Tulare County,2022-07-28 00:00:00,2022-08-05 00:00:00,2022-10-01 00:00:00,"Plaza Palace, Inc. dba Palace Food Depot",Closure Permanent,68,d:115 S. West Street  Tulare CA 93274
78,Santa Clara County,2022-07-27 00:00:00,2022-08-08 00:00:00,2022-10-07 00:00:00,"Rivian Automotive, LLC",Layoff Permanent,111,607 Hansen Way  Palo Alto CA 94304
79,Santa Clara County,2022-07-27 00:00:00,2022-08-08 00:00:00,2022-10-07 00:00:00,"Rivian Automotive, LLC",Layoff Permanent,77,630 Hansen Way  Palo Alto CA 94304
80,Santa Clara County,2022-07-27 00:00:00,2022-08-08 00:00:00,2022-10-07 00:00:00,"Rivian Automotive, LLC",Layoff Permanent,20,850 Hansen Way  Palo Alto CA 94304
81,Orange County,2022-07-27 00:00:00,2022-08-08 00:00:00,2022-10-07 00:00:00,"Rivian Automotive, LLC",Layoff Permanent,25,119 Waterworks Way  Irvine CA 92618
82,Orange County,2022-07-27 00:00:00,2022-08-08 00:00:00,2022-10-07 00:00:00,"Rivian Automotive, LLC",Layoff Permanent,21,14192 Franklin Avenue  Tustin CA 92780
83,Orange County,2022-07-27 00:00:00,2022-08-08 00:00:00,2022-10-07 00:00:00,"Rivian Automotive, LLC",Layoff Permanent,86,14600 Myford Road  Irvine CA 92606
84,Orange County,2022-07-27 00:00:00,2022-08-08 00:00:00,2022-10-07 00:00:00,"Rivian Automotive, LLC",Layoff Permanent,9,1751 Kettering Street  Irvine CA 92614
85,Orange County,2022-07-27 00:00:00,2022-08-08 00:00:00,2022-10-07 00:00:00,"Rivian Automotive, LLC",Layoff Permanent,2,9750 Irvine Boulevard  Irvine CA 92618
86,San Diego County,2022-08-01 00:00:00,2022-08-08 00:00:00,2022-10-02 00:00:00,"The Lafayette Hotel, Swim Club & Bungalows",Layoff Temporary,73,2223 El Cajon Blvd  San Diego CA 92104
87,Orange County,2022-08-09 00:00:00,2022-08-09 00:00:00,2022-10-04 00:00:00,"Modern Times Drinks, Inc.",Closure Permanent,33,549 S. Anaheim Blvd.  Anaheim CA 92805
